ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
16,G00000336,7 AVE,NA,7 AVE,NA,50,58,49,61,595,geo,IN
9,G00000337,BLEECKER,NA,BLEECKER,NA,312,328,313,329,596,geo,IN
19,G00000338,E 63,NA,E 63,NA,NA,NA,NA,NA,597,geo,IN
15,G00000339,BROADWAY,NA,BROADWAY,NA,771,785,772,784,598,geo,IN
5,G00000340,CHURCH,NA,CHURCH,NA,210,222,209,223,599,geo,IN
9,G00000344,GREENWICH AVE,NA,GREENWICH AVE,NA,105,117,106,118,603,geo,IN
19,G00000346,2 AVE,NA,2 AVE,NA,989,1001,NA,NA,605,geo,IN
18,G00000349,LEX AVE,NA,LEX AVE,NA,212,226,213,227,607,geo,IN
19,G00000350,9 AVE,NA,9 AVE,NA,491,507,478,492,608,geo,WN
19,G00000357,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,615,geo,IN
12,G00000359,3 AVE,NA,3 AVE,NA,NA,NA,NA,NA,617,geo,IN
18,G00000362,E 38,NA,E 38,NA,1,31,2,32,620,geo,IN
19,G00000363,5 AVE,NA,5 AVE,NA,450,462,451,463,621,geo,IN
12,G00000364,BROADWAY,KINGS BRG RD,BROADWAY,NA,NA,NA,NA,NA,622,geo,IN
12,G00000366,COLUMBUS AVE,NA,COLUMBUS AVE,NA,NA,NA,NA,NA,624,geo,IN
14,G00000373,GRAND,NA,GRAND,NA,152,162,153,163,630,geo,IN
3,G00000375,VESEY,NA,VESEY,NA,31,69,32,70,632,geo,IN
9,G00000376,HUDSON,NA,HUDSON,NA,519,533,520,536,633,geo,IN
19,G00000379,1 AVE,NA,1 AVE,NA,NA,NA,NA,NA,636,geo,IN
6,G00000383,LAFAYETTE,ELM,LAFAYETTE,NA,62,74,63,71,640,geo,IN
9,G00000384,LEROY,NA,LEROY,NA,2,40,1,39,641,geo,IN
3,G00000387,BARCLAY,NA,BARCLAY,NA,76,82,75,87,644,geo,IN
16,G00000388,10 AVE,NA,10 AVE,NA,135,151,136,150,645,geo,IN
2,G00000390,BEEKMAN,NA,BEEKMAN,NA,6,8,5,9,647,geo,IN
18,G00000391,1 AVE,NA,1 AVE,NA,435,443,436,444,648,geo,IN
5,G00000392,DUANE,NA,DUANE,NA,124,150,125,151,649,geo,IN
19,G00000394,E 64,NA,E 64,NA,NA,NA,NA,NA,651,geo,IN
19,G00000395,7 AVE,NA,7 AVE,NA,644,666,645,667,652,geo,IN
19,G00000396,W END AVE,NA,W END AVE,NA,NA,NA,NA,NA,653,geo,IN
18,G00000397,PARK AVE,NA,PARK AVE,NA,578,596,NA,NA,654,geo,IN
15,G00000402,W 13,NA,W 13,NA,2,76,1,75,658,geo,IN
16,G00000404,W 31,NA,W 31,NA,186,246,185,245,660,geo,IN
7,G00000405,MADISON,NA,MADISON,NA,211,235,208,240,661,geo,IN
9,G00000408,8 AVE,NA,8 AVE,NA,11,29,12,30,664,geo,IN
12,G00000414,W 182,NA,W 182,NA,NA,NA,NA,NA,670,geo,IN
9,G00000416,CHRISTOPHER,NA,CHRISTOPHER,NA,2,12,1,11,672,geo,IN
15,G00000417,BROADWAY,NA,BROADWAY,NA,729,743,728,744,673,geo,IN
12,G00000421,1 AVE,NA,1 AVE,NA,NA,NA,NA,NA,676,geo,IN
12,G00000425,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,680,geo,IN
1,G00000426,WATER,NA,WATER,NA,118,132,119,133,681,geo,IN
15,G00000427,BROADWAY,NA,BROADWAY,NA,699,713,698,712,682,geo,IN
19,G00000428,E 56,NA,E 56,NA,NA,NA,NA,NA,683,geo,IN
