Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
W 148,W 148,W 148,NA,500,562,501,565,532,532,8560,G00018560
W 147,W 147,W 147,NA,500,546,501,561,532,532,8561,G00018561
W 146,W 146,W 146,NA,500,554,501,561,532,532,8562,G00018562
W 145,W 145,W 145,NA,500,550,501,551,532,532,8563,G00018563
W 144,W 144,W 144,NA,500,562,501,565,532,532,8564,G00018564
W 143,W 143,W 143,NA,500,540,501,561,532,532,8565,G00018565
W 142,W 142,W 142,NA,504,554,505,547,531,532,8566,G00018566
W 141,W 141,W 141,NA,552,576,515,561,531,531,8567,G00018567
W 140,W 140,W 140,NA,540,556,557,565,531,531,8568,G00018568
W 139,W 139,W 139,NA,560,572,563,571,531,531,8569,G00018569
W 155,W 155,W 155,NA,NA,NA,501,577,532,533,8570,G00018570
W 155,W 155,W 155,NA,NA,NA,NA,NA,532,533,8571,G00018571
W 161,NA,W 161,NA,NA,NA,NA,NA,533,534,8574,G00018574
NICHOLAS AVE,NA,NICHOLAS AVE,NA,NA,NA,NA,NA,534,534,8575,G00018575
11 AVE,11 AVE,11 AVE,NA,3739,3759,3740,3760,533,533,8576,G00018576
11 AVE,11 AVE,11 AVE,NA,NA,NA,3762,3778,533,533,8577,G00018577
11 AVE,11 AVE,11 AVE,NA,3779,3799,3780,3800,533,533,8578,G00018578
11 AVE,11 AVE,11 AVE,NA,3801,3817,3802,3818,533,533,8579,G00018579
W 156,W 156,W 156,NA,500,572,501,559,533,533,8580,G00018580
W 157,W 157,W 157,NA,500,550,501,561,533,533,8581,G00018581
W 158,W 158,W 158,NA,500,554,501,559,533,533,8582,G00018582
W 158,W 158,W 158,NA,NA,NA,NA,NA,533,533,8583,G00018583
W 157,W 157,W 157,NA,NA,NA,NA,NA,533,533,8584,G00018584
W 157,W 157,W 157,NA,NA,NA,NA,NA,533,533,8585,G00018585
W 156,W 156,W 156,NA,NA,NA,NA,NA,533,533,8586,G00018586
