Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
C W P,C W P,NA,19,NA,NA,NA,NA,562,G00000303,NA,19
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,563,G00000304,NA,19
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,564,G00000305,NA,19
FORSYTH,FORSYTH,NA,17,193,221,194,222,565,G00000306,NA,17
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,566,G00000307,NA,12
7 AVE,7 AVE,NA,16,160,174,159,173,569,G00000310,NA,16
W 127,W 127,NA,12,NA,NA,NA,NA,571,G00000312,NA,12
E 72,E 72,NA,19,NA,NA,NA,NA,573,G00000314,NA,19
LAFAYETTE,LAFAYETTE,NA,6,76,84,73,81,574,G00000315,ELM,6
YORK AVE,YORK AVE,NA,19,NA,NA,NA,NA,576,G00000317,NA,19
W 130,W 130,NA,12,NA,NA,NA,NA,577,G00000318,NA,12
2 AVE,2 AVE,NA,18,533,551,534,550,578,G00000319,NA,18
E 80,E 80,NA,19,NA,NA,NA,NA,579,G00000320,NA,19
CHRYSTIE,CHRYSTIE,NA,10,153,175,152,174,580,G00000321,NA,10
E 131,E 131,NA,12,NA,NA,NA,NA,582,G00000323,NA,12
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,583,G00000324,NA,19
E 85,E 85,NA,19,NA,NA,NA,NA,586,G00000327,NA,19
6 AVE,6 AVE,NA,16,307,319,308,324,587,G00000328,NA,18
5 AVE,5 AVE,NA,12,NA,NA,NA,NA,588,G00000329,NA,12
E 67,E 67,NA,19,NA,NA,NA,NA,589,G00000330,NA,19
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,590,G00000331,NA,12
W 185,W 185,NA,12,NA,NA,NA,NA,591,G00000332,NA,12
JOHN,JOHN,NA,2,1,11,2,10,592,G00000333,BURLING SLIP,2
3 AVE,3 AVE,NA,19,956,968,953,967,594,G00000335,NA,19
7 AVE,7 AVE,NA,16,50,58,49,61,595,G00000336,NA,16
BLEECKER,BLEECKER,NA,9,312,328,313,329,596,G00000337,NA,9
E 63,E 63,NA,19,NA,NA,NA,NA,597,G00000338,NA,19
BROADWAY,BROADWAY,NA,15,771,785,772,784,598,G00000339,NA,15
CHURCH,CHURCH,NA,5,210,222,209,223,599,G00000340,NA,5
GREENWICH AVE,GREENWICH AVE,NA,9,105,117,106,118,603,G00000344,NA,9
2 AVE,2 AVE,NA,19,989,1001,NA,NA,605,G00000346,NA,19
LEX AVE,LEX AVE,NA,18,212,226,213,227,607,G00000349,NA,18
9 AVE,9 AVE,NA,19,491,507,478,492,608,G00000350,NA,19
BROADWAY,BROADWAY,NA,5,335,343,336,344,611,G00000353,NA,6
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,615,G00000357,NA,19
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,617,G00000359,NA,12
E 38,E 38,NA,18,1,31,2,32,620,G00000362,NA,18
5 AVE,5 AVE,NA,19,450,462,451,463,621,G00000363,NA,19
BROADWAY,BROADWAY,NA,12,NA,NA,NA,NA,622,G00000364,KINGS BRG RD,12
COLUMBUS AVE,COLUMBUS AVE,NA,12,NA,NA,NA,NA,624,G00000366,NA,12
GRAND,GRAND,NA,14,152,162,153,163,630,G00000373,NA,14
VESEY,VESEY,NA,3,31,69,32,70,632,G00000375,NA,3
HUDSON,HUDSON,NA,9,519,533,520,536,633,G00000376,NA,9
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,636,G00000379,NA,19
LAFAYETTE,LAFAYETTE,NA,6,62,74,63,71,640,G00000383,ELM,6
LEROY,LEROY,NA,9,2,40,1,39,641,G00000384,NA,9
BARCLAY,BARCLAY,NA,3,76,82,75,87,644,G00000387,NA,3
10 AVE,10 AVE,NA,16,135,151,136,150,645,G00000388,NA,16
BEEKMAN,BEEKMAN,NA,2,6,8,5,9,647,G00000390,NA,2
1 AVE,1 AVE,NA,18,435,443,436,444,648,G00000391,NA,18
DUANE,DUANE,NA,5,124,150,125,151,649,G00000392,NA,5
